"distrito_electoral","anio","PBI"
"AMAZONAS","2001",1278016.12757952
"AMAZONAS","2006",1664368.10841922
"AMAZONAS","2011",2287107
"AMAZONAS","2016",2784366
"AMAZONAS","2020",3030350
"AMAZONAS","2021",3122772
"ANCASH","2001",11625612.2293657
"ANCASH","2006",14745137.7527812
"ANCASH","2011",16155687
"ANCASH","2016",18365696
"ANCASH","2020",18758235
"ANCASH","2021",21466272
"APURIMAC","2001",1346379.64348469
"APURIMAC","2006",1793135.46494899
"APURIMAC","2011",1869417
"APURIMAC","2016",6343065
"APURIMAC","2020",6448415
"APURIMAC","2021",6586239
"AREQUIPA","2001",11070397.4373387
"AREQUIPA","2006",14696105.8912364
"AREQUIPA","2011",21038813
"AREQUIPA","2016",29623112
"AREQUIPA","2020",26489345
"AREQUIPA","2021",29970944
"AYACUCHO","2001",2065151.697382
"AYACUCHO","2006",2675089.35822532
"AYACUCHO","2011",4111349
"AYACUCHO","2016",5177917
"AYACUCHO","2020",5193538
"AYACUCHO","2021",5796822
"CAJAMARCA","2001",7087402.98694788
"CAJAMARCA","2006",8891324.79665193
"CAJAMARCA","2011",10595497
"CAJAMARCA","2016",10581305
"CAJAMARCA","2020",10310549
"CAJAMARCA","2021",11488958
"CUSCO","2001",7053117.25415229
"CUSCO","2006",10010771.0189044
"CUSCO","2011",17384466
"CUSCO","2016",21898270
"CUSCO","2020",19284962
"CUSCO","2021",20592202
"HUANCAVELICA","2001",2289899.25765461
"HUANCAVELICA","2006",2598237.93793385
"HUANCAVELICA","2011",2909215
"HUANCAVELICA","2016",3212948
"HUANCAVELICA","2020",3279521
"HUANCAVELICA","2021",3493040
"HUANUCO","2001",2722680.3665326
"HUANUCO","2006",3164950.0266209
"HUANUCO","2011",3955589
"HUANUCO","2016",5345445
"HUANUCO","2020",5437276
"HUANUCO","2021",5972022
"ICA","2001",5545231.62729189
"ICA","2006",8042917.23975173
"ICA","2011",12883432
"ICA","2016",15325191
"ICA","2020",15612472
"ICA","2021",19614370
"JUNIN","2001",7192580.47218254
"JUNIN","2006",8737785.74598443
"JUNIN","2011",10009485
"JUNIN","2016",14285221
"JUNIN","2020",13863906
"JUNIN","2021",15946514
"LA LIBERTAD","2001",9416939.50474911
"LA LIBERTAD","2006",13303315.5304164
"LA LIBERTAD","2011",17378414
"LA LIBERTAD","2016",20448345
"LA LIBERTAD","2020",21224496
"LA LIBERTAD","2021",23544421
"LAMBAYEQUE","2001",5392376.11687266
"LAMBAYEQUE","2006",6247474.02263673
"LAMBAYEQUE","2011",8937792
"LAMBAYEQUE","2016",11080412
"LAMBAYEQUE","2020",11345968
"LAMBAYEQUE","2021",13087584
"LIMA","2001",95295280.7212908
"LIMA","2006",123524018.478716
"LIMA","2011",178742876
"LIMA","2016",220241329
"LIMA","2020",211735530
"LIMA","2021",242029742
"LORETO","2001",5651932.74341773
"LORETO","2006",6673925.8083064
"LORETO","2011",7608889
"LORETO","2016",7602217
"LORETO","2020",8031794
"LORETO","2021",8905322
"MADRE DE DIOS","2001",1246650.97769164
"MADRE DE DIOS","2006",1685015.60805671
"MADRE DE DIOS","2011",2454999
"MADRE DE DIOS","2016",2663699
"MADRE DE DIOS","2020",1607653
"MADRE DE DIOS","2021",1754255
"MOQUEGUA","2001",5428510.16777766
"MOQUEGUA","2006",7569910.87495057
"MOQUEGUA","2011",7785269
"MOQUEGUA","2016",8635514
"MOQUEGUA","2020",8584100
"MOQUEGUA","2021",9319452
"PASCO","2001",4090216.30295053
"PASCO","2006",4967426.17588752
"PASCO","2011",4641887
"PASCO","2016",5329324
"PASCO","2020",4429724
"PASCO","2021",5272562
"PIURA","2001",8731987.11257896
"PIURA","2006",11536702.5983967
"PIURA","2011",16366999
"PIURA","2016",18924869
"PIURA","2020",18879119
"PIURA","2021",21156596
"PUNO","2001",4637356.09104535
"PUNO","2006",5550669.53303807
"PUNO","2011",7384505
"PUNO","2016",9075999
"PUNO","2020",8707290
"PUNO","2021",9703870
"SAN MARTIN","2001",2315851.84968341
"SAN MARTIN","2006",3015761.81650324
"SAN MARTIN","2011",4245537
"SAN MARTIN","2016",5588107
"SAN MARTIN","2020",5850487
"SAN MARTIN","2021",6282945
"TACNA","2001",3937659.53324886
"TACNA","2006",4860869.04155417
"TACNA","2011",5466509
"TACNA","2016",6506248
"TACNA","2020",8499315
"TACNA","2021",8875091
"TUMBES","2001",1223875.07714434
"TUMBES","2006",1518546.46133399
"TUMBES","2011",2168906
"TUMBES","2016",2507255
"TUMBES","2020",2517872
"TUMBES","2021",2749892
"UCAYALI","2001",2229331.69052255
"UCAYALI","2006",2938236.95006405
"UCAYALI","2011",3548168
"UCAYALI","2016",4176645
"UCAYALI","2020",4022097
"UCAYALI","2021",4571302
