"","distrito_electoral","anio","PBI","pob_total","PBI_pc"
"1","AMAZONAS","2001",1278016.12757952,400866,3188.13800017841
"2","AMAZONAS","2006",1664368.10841922,407817,4081.16412120931
"3","AMAZONAS","2011",2287107,407347,5614.64058898188
"4","AMAZONAS","2016",2784366,411525,6765.97047566976
"5","AMAZONAS","2020",3030350,426806,7100.06419778541
"6","AMAZONAS","2021",3122772,428512,7287.47853035621
"7","ANCASH","2001",11625612.2293657,1089213,10673.4056877449
"8","ANCASH","2006",14745137.7527812,1095903,13454.7836375858
"9","ANCASH","2011",16155687,1100147,14685.0257283799
"10","ANCASH","2016",18365696,1126698,16300.4602830572
"11","ANCASH","2020",18758235,1180638,15888.2189121475
"12","ANCASH","2021",21466272,1188391,18063.3074467915
"13","APURIMAC","2001",1346379.64348469,436560,3084.06552016833
"14","APURIMAC","2006",1793135.46494899,436693,4106.16947134254
"15","APURIMAC","2011",1869417,427511,4372.7927468533
"16","APURIMAC","2016",6343065,422534,15011.9635342955
"17","APURIMAC","2020",6448415,430736,14970.6897032057
"18","APURIMAC","2021",6586239,430609,15295.1726508271
"19","AREQUIPA","2001",11070397.4373387,1111366,9961.072623545
"20","AREQUIPA","2006",14696105.8912364,1167582,12586.7869590627
"21","AREQUIPA","2011",21038813,1241530,16945.8756534276
"22","AREQUIPA","2016",29623112,1357444,21822.713865176
"23","AREQUIPA","2020",26489345,1497438,17689.7774732577
"24","AREQUIPA","2021",29970944,1526669,19631.5927028059
"25","AYACUCHO","2001",2065151.697382,613067,3368.55791843632
"26","AYACUCHO","2006",2675089.35822532,643368,4157.94593176116
"27","AYACUCHO","2011",4111349,646321,6361.15645321752
"28","AYACUCHO","2016",5177917,647794,7993.15368774641
"29","AYACUCHO","2020",5193538,668213,7772.27919839931
"30","AYACUCHO","2021",5796822,669979,8652.24432407583
"31","CAJAMARCA","2001",7087402.98694788,1440277,4920.86104752619
"32","CAJAMARCA","2006",8891324.79665193,1447000,6144.6612278175
"33","CAJAMARCA","2011",10595497,1425105,7434.888657327
"34","CAJAMARCA","2016",10581305,1418297,7460.57067031799
"35","CAJAMARCA","2020",10310549,1453711,7092.57135703039
"36","CAJAMARCA","2021",11488958,1455245,7894.86168995599
"37","CUSCO","2001",7053117.25415229,1195020,5902.0913910665
"38","CUSCO","2006",10010771.0189044,1211765,8261.31388421387
"39","CUSCO","2011",17384466,1231575,14115.6372937093
"40","CUSCO","2016",21898270,1280145,17106.0856387362
"41","CUSCO","2020",19284962,1357075,14210.6825341267
"42","CUSCO","2021",20592202,1369932,15031.5504711183
"43","HUANCAVELICA","2001",2289899.25765461,460802,4969.37786219377
"44","HUANCAVELICA","2006",2598237.93793385,468379,5547.29810246371
"45","HUANCAVELICA","2011",2909215,432381,6728.35994181058
"46","HUANCAVELICA","2016",3212948,386752,8307.51489326494
"47","HUANCAVELICA","2020",3279521,365317,8977.19241097458
"48","HUANCAVELICA","2021",3493040,358356,9747.40202480215
"49","HUANUCO","2001",2722680.3665326,773262,3521.0321553789
"50","HUANUCO","2006",3164950.0266209,787626,4018.34122619225
"51","HUANUCO","2011",3955589,770088,5136.54153810993
"52","HUANUCO","2016",5345445,752248,7105.96106603142
"53","HUANUCO","2020",5437276,760267,7151.79798675991
"54","HUANUCO","2021",5972022,758416,7874.33545705787
"55","ICA","2001",5545231.62729189,686121,8082.00248540985
"56","ICA","2006",8042917.23975173,722929,11125.4594016172
"57","ICA","2011",12883432,779799,16521.4779706052
"58","ICA","2016",15325191,870166,17611.8016562357
"59","ICA","2020",15612472,975182,16009.8032982561
"60","ICA","2021",19614370,998144,19650.8419626827
"61","JUNIN","2001",7192580.47218254,1246239,5771.42945468931
"62","JUNIN","2006",8737785.74598443,1274077,6858.13003922403
"63","JUNIN","2011",10009485,1281293,7812.01879663746
"64","JUNIN","2016",14285221,1304632,10949.6172100638
"65","JUNIN","2020",13863906,1361467,10183.0642975555
"66","JUNIN","2021",15946514,1369003,11648.2681192079
"67","LA LIBERTAD","2001",9416939.50474911,1551472,6069.6806031621
"68","LA LIBERTAD","2006",13303315.5304164,1643824,8092.9074708828
"69","LA LIBERTAD","2011",17378414,1730877,10040.2362501784
"70","LA LIBERTAD","2016",20448345,1855780,11018.7333627908
"71","LA LIBERTAD","2020",21224496,2016771,10523.9990063324
"72","LA LIBERTAD","2021",23544421,2048492,11493.5381734466
"73","LAMBAYEQUE","2001",5392376.11687266,1098616,4908.33568496423
"74","LAMBAYEQUE","2006",6247474.02263673,1134361,5507.48308751512
"75","LAMBAYEQUE","2011",8937792,1167862,7653.12339985375
"76","LAMBAYEQUE","2016",11080412,1226321,9035.49070757167
"77","LAMBAYEQUE","2020",11345968,1310785,8655.85736791312
"78","LAMBAYEQUE","2021",13087584,1325912,9870.62791497475
"79","LIMA","2001",95295280.7212908,8722749,10924.9137767567
"80","LIMA","2006",123524018.478716,9330831,13238.2655391268
"81","LIMA","2011",178742876,9919273,18019.7556816916
"82","LIMA","2016",220241329,10737504,20511.4083310237
"83","LIMA","2020",211735530,11758324,18007.2882836023
"84","LIMA","2021",242029742,11965930,20226.5717750313
"85","LORETO","2001",5651932.74341773,871720,6483.65615497836
"86","LORETO","2006",6673925.8083064,911642,7320.77483080683
"87","LORETO","2011",7608889,935307,8135.17807522022
"88","LORETO","2016",7602217,970219,7835.56805216142
"89","LORETO","2020",8031794,1027559,7816.38231965269
"90","LORETO","2021",8905322,1037055,8587.12604442387
"91","MADRE DE DIOS","2001",1246650.97769164,96155,12965.014587818
"92","MADRE DE DIOS","2006",1685015.60805671,110677,15224.6230748639
"93","MADRE DE DIOS","2011",2454999,127117,19312.9085802843
"94","MADRE DE DIOS","2016",2663699,149044,17871.8968895091
"95","MADRE DE DIOS","2020",1607653,173811,9249.43185414042
"96","MADRE DE DIOS","2021",1754255,179688,9762.78326877699
"97","MOQUEGUA","2001",5428510.16777766,155447,34921.9358866859
"98","MOQUEGUA","2006",7569910.87495057,163510,46296.3175032143
"99","MOQUEGUA","2011",7785269,170028,45788.158420966
"100","MOQUEGUA","2016",8635514,179508,48106.5690665597
"101","MOQUEGUA","2020",8584100,192740,44537.2003735602
"102","MOQUEGUA","2021",9319452,195185,47746.7633270999
"103","PASCO","2001",4090216.30295053,278008,14712.5849002566
"104","PASCO","2006",4967426.17588752,286112,17361.8239566586
"105","PASCO","2011",4641887,279306,16619.360128318
"106","PASCO","2016",5329324,270648,19690.9786881854
"107","PASCO","2020",4429724,271904,16291.4999411557
"108","PASCO","2021",5272562,270842,19467.2982772244
"109","PIURA","2001",8731987.11257896,1645049,5308.04074077973
"110","PIURA","2006",11536702.5983967,1710832,6743.32874203704
"111","PIURA","2011",16366999,1781317,9188.14506345586
"112","PIURA","2016",18924869,1895889,9982.05538404411
"113","PIURA","2020",18879119,2047954,9218.52688097486
"114","PIURA","2021",21156596,2077039,10185.9406587936
"115","PUNO","2001",4637356.09104535,1272213,3645.1098134081
"116","PUNO","2006",5550669.53303807,1303022,4259.84329737953
"117","PUNO","2011",7384505,1270389,5812.79041301523
"118","PUNO","2016",9075999,1231778,7368.2100183637
"119","PUNO","2020",8707290,1237997,7033.36922464271
"120","PUNO","2021",9703870,1233277,7868.36209545787
"121","SAN MARTIN","2001",2315851.84968341,697710,3319.21837107596
"122","SAN MARTIN","2006",3015761.81650324,743447,4056.45838439491
"123","SAN MARTIN","2011",4245537,781052,5435.66497493125
"124","SAN MARTIN","2016",5588107,831960,6716.79768258089
"125","SAN MARTIN","2020",5850487,899648,6503.08453973109
"126","SAN MARTIN","2021",6282945,912674,6884.10648270905
"127","TACNA","2001",3937659.53324886,272935,14427.0963168845
"128","TACNA","2006",4860869.04155417,291443,16678.6268380238
"129","TACNA","2011",5466509,310525,17604.0866274857
"130","TACNA","2016",6506248,337630,19270.3491988271
"131","TACNA","2020",8499315,370974,22910.8104611105
"132","TACNA","2021",8875091,377842,23488.8948290555
"133","TUMBES","2001",1223875.07714434,191149,6402.72811861081
"134","TUMBES","2006",1518546.46133399,202615,7494.73859948175
"135","TUMBES","2011",2168906,214047,10132.8493274842
"136","TUMBES","2016",2507255,230598,10872.8393134372
"137","TUMBES","2020",2517872,251521,10010.5836093209
"138","TUMBES","2021",2749892,255712,10753.8637216869
"139","UCAYALI","2001",2229331.69052255,408531,5456.94620609586
"140","UCAYALI","2006",2938236.95006405,439329,6688.01046610639
"141","UCAYALI","2011",3548168,475528,7461.53328510624
"142","UCAYALI","2016",4176645,527717,7914.5545813381
"143","UCAYALI","2020",4022097,589110,6827.41253755665
"144","UCAYALI","2021",4571302,602400,7588.48273572377
