"","distrito_electoral","anio","pob_total"
"1","AMAZONAS",2001,400866
"2","AMAZONAS",2006,407817
"3","AMAZONAS",2011,407347
"4","AMAZONAS",2016,411525
"5","AMAZONAS",2020,426806
"6","AMAZONAS",2021,428512
"7","APURIMAC",2001,436560
"8","APURIMAC",2006,436693
"9","APURIMAC",2011,427511
"10","APURIMAC",2016,422534
"11","APURIMAC",2020,430736
"12","APURIMAC",2021,430609
"13","AREQUIPA",2001,1111366
"14","AREQUIPA",2006,1167582
"15","AREQUIPA",2011,1241530
"16","AREQUIPA",2016,1357444
"17","AREQUIPA",2020,1497438
"18","AREQUIPA",2021,1526669
"19","AYACUCHO",2001,613067
"20","AYACUCHO",2006,643368
"21","AYACUCHO",2011,646321
"22","AYACUCHO",2016,647794
"23","AYACUCHO",2020,668213
"24","AYACUCHO",2021,669979
"25","CAJAMARCA",2001,1440277
"26","CAJAMARCA",2006,1447000
"27","CAJAMARCA",2011,1425105
"28","CAJAMARCA",2016,1418297
"29","CAJAMARCA",2020,1453711
"30","CAJAMARCA",2021,1455245
"31","CUSCO",2001,1195020
"32","CUSCO",2006,1211765
"33","CUSCO",2011,1231575
"34","CUSCO",2016,1280145
"35","CUSCO",2020,1357075
"36","CUSCO",2021,1369932
"37","HUANCAVELICA",2001,460802
"38","HUANCAVELICA",2006,468379
"39","HUANCAVELICA",2011,432381
"40","HUANCAVELICA",2016,386752
"41","HUANCAVELICA",2020,365317
"42","HUANCAVELICA",2021,358356
"43","HUANUCO",2001,773262
"44","HUANUCO",2006,787626
"45","HUANUCO",2011,770088
"46","HUANUCO",2016,752248
"47","HUANUCO",2020,760267
"48","HUANUCO",2021,758416
"49","ICA",2001,686121
"50","ICA",2006,722929
"51","ICA",2011,779799
"52","ICA",2016,870166
"53","ICA",2020,975182
"54","ICA",2021,998144
"55","JUNIN",2001,1246239
"56","JUNIN",2006,1274077
"57","JUNIN",2011,1281293
"58","JUNIN",2016,1304632
"59","JUNIN",2020,1361467
"60","JUNIN",2021,1369003
"61","LA LIBERTAD",2001,1551472
"62","LA LIBERTAD",2006,1643824
"63","LA LIBERTAD",2011,1730877
"64","LA LIBERTAD",2016,1855780
"65","LA LIBERTAD",2020,2016771
"66","LA LIBERTAD",2021,2048492
"67","LAMBAYEQUE",2001,1098616
"68","LAMBAYEQUE",2006,1134361
"69","LAMBAYEQUE",2011,1167862
"70","LAMBAYEQUE",2016,1226321
"71","LAMBAYEQUE",2020,1310785
"72","LAMBAYEQUE",2021,1325912
"73","LIMA",2001,8722749
"74","LIMA",2006,9330831
"75","LIMA",2011,9919273
"76","LIMA",2016,10737504
"77","LIMA",2020,11758324
"78","LIMA",2021,11965930
"79","LORETO",2001,871720
"80","LORETO",2006,911642
"81","LORETO",2011,935307
"82","LORETO",2016,970219
"83","LORETO",2020,1027559
"84","LORETO",2021,1037055
"85","MADRE DE DIOS",2001,96155
"86","MADRE DE DIOS",2006,110677
"87","MADRE DE DIOS",2011,127117
"88","MADRE DE DIOS",2016,149044
"89","MADRE DE DIOS",2020,173811
"90","MADRE DE DIOS",2021,179688
"91","MOQUEGUA",2001,155447
"92","MOQUEGUA",2006,163510
"93","MOQUEGUA",2011,170028
"94","MOQUEGUA",2016,179508
"95","MOQUEGUA",2020,192740
"96","MOQUEGUA",2021,195185
"97","PASCO",2001,278008
"98","PASCO",2006,286112
"99","PASCO",2011,279306
"100","PASCO",2016,270648
"101","PASCO",2020,271904
"102","PASCO",2021,270842
"103","PIURA",2001,1645049
"104","PIURA",2006,1710832
"105","PIURA",2011,1781317
"106","PIURA",2016,1895889
"107","PIURA",2020,2047954
"108","PIURA",2021,2077039
"109","PUNO",2001,1272213
"110","PUNO",2006,1303022
"111","PUNO",2011,1270389
"112","PUNO",2016,1231778
"113","PUNO",2020,1237997
"114","PUNO",2021,1233277
"115","SAN MARTIN",2001,697710
"116","SAN MARTIN",2006,743447
"117","SAN MARTIN",2011,781052
"118","SAN MARTIN",2016,831960
"119","SAN MARTIN",2020,899648
"120","SAN MARTIN",2021,912674
"121","TACNA",2001,272935
"122","TACNA",2006,291443
"123","TACNA",2011,310525
"124","TACNA",2016,337630
"125","TACNA",2020,370974
"126","TACNA",2021,377842
"127","TUMBES",2001,191149
"128","TUMBES",2006,202615
"129","TUMBES",2011,214047
"130","TUMBES",2016,230598
"131","TUMBES",2020,251521
"132","TUMBES",2021,255712
"133","UCAYALI",2001,408531
"134","UCAYALI",2006,439329
"135","UCAYALI",2011,475528
"136","UCAYALI",2016,527717
"137","UCAYALI",2020,589110
"138","UCAYALI",2021,602400
"139","ANCASH",2001,1089213
"140","ANCASH",2006,1095903
"141","ANCASH",2011,1100147
"142","ANCASH",2016,1126698
"143","ANCASH",2020,1180638
"144","ANCASH",2021,1188391
